Country,City, old_method , new_method 
Nigeria,Aba," 521,566.07 "," 51,880.00 "
Nigeria,Abakaliki," 283,727.28 "," 15,726.00 "
Nigeria,Abeokuta," 253,750.72 "," 33,151.00 "
Nigeria,Abuja," 1,636,394.48 "," 1,451,931.00 "
Nigeria,Ado-Ekiti," 233,520.94 "," 14,877.00 "
Nigeria,Akure," 324,177.81 "," 30,297.00 "
Nigeria,Bauchi," 291,559.04 "," 65,295.00 "
Nigeria,Benin City," 834,569.85 "," 209,687.00 "
Nigeria,Birnin Kebbi," 178,910.92 "," 30,479.00 "
Nigeria,Calabar," 284,219.59 "," 67,583.00 "
Nigeria,Effon Alaiye," 185,938.73 "," 1,973.00 "
Nigeria,Enugu," 372,184.58 "," 239,382.00 "
Nigeria,Gboko," 213,693.13 "," 14,520.00 "
Nigeria,Gombe," 248,768.92 "," 161,560.00 "
Nigeria,Gwagwalada," 210,671.54 "," 14,597.00 "
Nigeria,Ibadan," 1,706,324.74 "," 111,522.00 "
Nigeria,Ife," 179,936.19 "," 9,469.00 "
Nigeria,Igbidu," 217,532.23 "," 2,381.00 "
Nigeria,Ijebu-Ode," 166,797.44 "," 23,216.00 "
Nigeria,Ikorodu," 467,055.42 "," 322,627.00 "
Nigeria,Ikot Ekpene," 187,429.20 "," 8,748.00 "
Nigeria,Ilesha," 174,023.98 "," 16,017.00 "
Nigeria,Ilorin," 454,991.63 "," 66,468.00 "
Nigeria,Jos," 428,429.60 "," 210,501.00 "
Nigeria,Kaduna," 528,268.68 "," 324,727.00 "
Nigeria,Kano," 1,917,678.29 "," 511,221.00 "
Nigeria,Katsina," 228,503.01 "," 73,411.00 "
Nigeria,Lafia," 163,202.24 "," 7,124.00 "
Nigeria,Lagos," 6,966,491.91 "," 1,338,866.00 "
Nigeria,Lokoja," 351,927.70 "," 9,689.00 "
Nigeria,Maiduguri," 374,596.43 "," 16,262.00 "
Nigeria,Makurdi," 197,988.97 "," 56,195.00 "
Nigeria,Minna," 216,741.83 "," 78,161.00 "
Nigeria,Nnewi," 526,552.38 "," 9,366.00 "
Nigeria,Ogbomosho," 271,184.73 "," 2,924.00 "
Nigeria,Okene," 223,954.81 "," 74,075.00 "
Nigeria,Okpogho," 217,441.90 "," 33,307.00 "
Nigeria,Ondo," 208,508.10 "," 4,017.00 "
Nigeria,Onitsha," 698,489.70 "," 91,061.00 "
Nigeria,Oshogbo," 341,173.71 "," 59,176.00 "
Nigeria,Owerri," 426,772.01 "," 83,734.00 "
Nigeria,Oyo," 206,696.95 "," 5,286.00 "
Nigeria,Port Harcourt," 1,494,352.43 "," 1,361,881.00 "
Nigeria,Potiskum," 215,413.95 "," 3,522.00 "
Nigeria,Saki," 185,992.92 ", 39.00 
Nigeria,Sokoto," 310,081.55 "," 46,577.00 "
Nigeria,Umuahia," 385,752.40 "," 29,800.00 "
Nigeria,Uyo," 566,786.11 "," 117,992.00 "
Nigeria,Warri," 423,660.09 "," 345,352.00 "
Nigeria,Zaria," 342,582.89 "," 34,696.00 "
South Africa,Bloemfontein," 357,196.56 "," 265,842.00 "
South Africa,Cape Town," 2,914,382.31 "," 1,802,063.00 "
South Africa,Durban (Ethekwini)," 1,955,165.46 "," 1,108,698.00 "
South Africa,East London (Buffalo City)," 442,691.14 "," 222,818.00 "
South Africa,Ekurhuleni," 2,455,615.32 "," 1,077,766.00 "
South Africa,Johannesburg," 3,673,310.95 "," 2,271,417.00 "
South Africa,Pietermaritzburg (The Msunduzi)," 328,657.81 "," 188,320.00 "
South Africa,Polokwane," 277,796.57 "," 186,447.00 "
South Africa,Port Elizabeth (Nelson Mandela Bay)," 781,141.66 "," 468,006.00 "
South Africa,Pretoria," 1,651,403.02 "," 1,069,377.00 "
South Africa,Rustenburg," 332,404.59 "," 208,070.00 "
South Africa,Soshanguve," 534,766.90 "," 295,600.00 "
South Africa,Vereeniging," 480,128.47 "," 297,061.00 "
South Africa,West Rand," 561,450.51 "," 368,572.00 "
South Africa,Witbank," 292,443.05 "," 144,183.00 "
Kenya,Eldoret," 149,406.82 "," 42,888.00 "
Kenya,Kisumu," 132,859.61 "," 45,667.00 "
Kenya,Mombasa," 486,588.46 "," 414,746.00 "
Kenya,Nairobi," 1,789,375.40 "," 1,259,799.00 "
Kenya,Nakuru," 143,050.57 "," 108,595.00 "
Kenya,Ruiru," 148,387.02 "," 119,435.00 "
